======================== REPORT OF INPUTS - INCLUSION ANALYSIS ========================

       Label         |      Prediction      |        Input         |       p_value        |    Standard_error    |       In_model      
---------------------------------------------------------------------------------------------------------------------------------------
   pie_izquierdo     |        False         |      ancho pie      |       0.003318      |       0.074297      |        False        
   pie_izquierdo     |        False         |      largo pie      |       0.004724      |       0.177001      |        False        
   pie_izquierdo     |        False         |  distancia talones  |       0.003955      |       0.763634      |        False        
   pie_izquierdo     |        False         |     largo tibia     |       0.002141      |       0.522269      |        False        
   pie_izquierdo     |        False         |     largo muslo     |       0.002787      |       0.498831      |        False        
   pie_izquierdo     |        False         |     largo lumbar    |       0.003765      |       0.163674      |        False        
   pie_izquierdo     |        False         |         edad        |       0.015401      |       0.136248      |        False        
   pie_izquierdo     |        False         |        altura       |       0.002896      |       0.713364      |        False        
   pie_izquierdo     |        False         |         peso        |       0.001426      |       0.303623      |        False        
   pie_izquierdo     |        False         |        LLE_x        |       1.671217      |       0.095424      |        False        
   pie_izquierdo     |        False         |        LLE_y        |       1.601882      |       0.579717      |        False        
   pie_izquierdo     |        False         |        LLE_z        |       1.239190      |       0.264593      |        False        
   pie_izquierdo     |        False         |        LLE_yz       |       2.955933      |       0.939842      |        False        
   pie_izquierdo     |        False         |       LLE_xyz       |      12.157000      |       0.982879      |        False        
   pie_izquierdo     |        False         |      lambda_x_1     |       5.597026      |       0.916394      |        False        
   pie_izquierdo     |        False         |      lambda_x_2     |       5.145051      |       0.819250      |        False        
   pie_izquierdo     |        False         |      lambda_x_3     |       4.895847      |       0.907189      |        False        
   pie_izquierdo     |        False         |      lambda_x_4     |       4.420016      |       0.611739      |        False        
   pie_izquierdo     |        False         |      lambda_x_5     |       4.395380      |       0.807018      |        False        
   pie_izquierdo     |        False         |      lambda_x_6     |       4.342106      |       0.950149      |        False        
   pie_izquierdo     |        False         |      lambda_x_7     |       5.288069      |       0.018742      |         True        
   pie_izquierdo     |        False         |      lambda_x_8     |       6.547341      |       0.685468      |        False        
   pie_izquierdo     |        False         |      lambda_x_9     |       5.236731      |       0.425570      |        False        
   pie_izquierdo     |        False         |     lambda_x_10     |       3.101899      |       0.858348      |        False        
   pie_izquierdo     |        False         |     lambda_x_11     |       5.211796      |       0.821583      |        False        
   pie_izquierdo     |        False         |     lambda_x_12     |       5.065896      |       0.197040      |        False        
   pie_izquierdo     |        False         |     lambda_x_13     |       6.272817      |       0.979673      |        False        
   pie_izquierdo     |        False         |     lambda_x_14     |       5.944051      |       0.784986      |        False        
   pie_izquierdo     |        False         |     lambda_x_15     |       5.518150      |       0.935061      |        False        
   pie_izquierdo     |        False         |     lambda_x_16     |       4.508090      |       0.351874      |        False        
   pie_izquierdo     |        False         |     lambda_x_17     |       4.716232      |       0.609284      |        False        
   pie_izquierdo     |        False         |     lambda_x_18     |       4.365752      |       0.809313      |        False        
   pie_izquierdo     |        False         |     lambda_x_19     |       3.875751      |       0.797697      |        False        
   pie_izquierdo     |        False         |     lambda_x_20     |       4.738398      |       0.350789      |        False        
   pie_izquierdo     |        False         |      lambda_y_1     |      11.025726      |       0.387863      |        False        
   pie_izquierdo     |        False         |      lambda_y_2     |       7.962084      |       0.823815      |        False        
   pie_izquierdo     |        False         |      lambda_y_3     |       9.671914      |       0.001473      |         True        
   pie_izquierdo     |        False         |      lambda_y_4     |       6.444748      |       0.746018      |        False        
   pie_izquierdo     |        False         |      lambda_y_5     |       8.147001      |       0.315047      |        False        
   pie_izquierdo     |        False         |      lambda_y_6     |       7.414053      |       0.498010      |        False        
   pie_izquierdo     |        False         |      lambda_y_7     |       7.274531      |       0.775930      |        False        
   pie_izquierdo     |        False         |      lambda_y_8     |       6.841240      |       0.667787      |        False        
   pie_izquierdo     |        False         |      lambda_y_9     |       6.790098      |       0.941312      |        False        
   pie_izquierdo     |        False         |     lambda_y_10     |       5.238957      |       0.330593      |        False        
   pie_izquierdo     |        False         |     lambda_y_11     |       6.924364      |       0.322215      |        False        
   pie_izquierdo     |        False         |     lambda_y_12     |       6.953361      |       0.856862      |        False        
   pie_izquierdo     |        False         |     lambda_y_13     |       7.605428      |       0.949698      |        False        
   pie_izquierdo     |        False         |     lambda_y_14     |       8.956025      |       0.471524      |        False        
   pie_izquierdo     |        False         |     lambda_y_15     |      10.652702      |       0.162694      |        False        
   pie_izquierdo     |        False         |     lambda_y_16     |       7.453745      |       0.739189      |        False        
   pie_izquierdo     |        False         |     lambda_y_17     |      11.506675      |       0.509528      |        False        
   pie_izquierdo     |        False         |     lambda_y_18     |       6.887788      |       0.228294      |        False        
   pie_izquierdo     |        False         |     lambda_y_19     |       6.980904      |       0.154221      |        False        
   pie_izquierdo     |        False         |     lambda_y_20     |       6.814017      |       0.628601      |        False        
   pie_izquierdo     |        False         |      lambda_z_1     |       5.383098      |       0.671998      |        False        
   pie_izquierdo     |        False         |      lambda_z_2     |       5.845011      |       0.911165      |        False        
   pie_izquierdo     |        False         |      lambda_z_3     |       5.802562      |       0.267023      |        False        
   pie_izquierdo     |        False         |      lambda_z_4     |       6.418985      |       0.612303      |        False        
   pie_izquierdo     |        False         |      lambda_z_5     |       5.038295      |       0.412016      |        False        
   pie_izquierdo     |        False         |      lambda_z_6     |       7.049281      |       0.895126      |        False        
   pie_izquierdo     |        False         |      lambda_z_7     |       6.669453      |       0.977397      |        False        
   pie_izquierdo     |        False         |      lambda_z_8     |       7.694425      |       0.706615      |        False        
   pie_izquierdo     |        False         |      lambda_z_9     |       3.944885      |       0.519101      |        False        
   pie_izquierdo     |        False         |     lambda_z_10     |       4.248332      |       0.843333      |        False        
   pie_izquierdo     |        False         |     lambda_z_11     |       5.785770      |       0.940122      |        False        
   pie_izquierdo     |        False         |     lambda_z_12     |       7.737660      |       0.474123      |        False        
   pie_izquierdo     |        False         |     lambda_z_13     |      10.473037      |       0.746281      |        False        
   pie_izquierdo     |        False         |     lambda_z_14     |       5.261589      |       0.689390      |        False        
   pie_izquierdo     |        False         |     lambda_z_15     |       7.589217      |       0.238528      |        False        
   pie_izquierdo     |        False         |     lambda_z_16     |       6.026779      |       0.422900      |        False        
   pie_izquierdo     |        False         |     lambda_z_17     |       6.013177      |       0.087591      |        False        
   pie_izquierdo     |        False         |     lambda_z_18     |       4.341542      |       0.756855      |        False        
   pie_izquierdo     |        False         |     lambda_z_19     |       6.810572      |       0.184087      |        False        
   pie_izquierdo     |        False         |     lambda_z_20     |       4.114089      |       0.489871      |        False        
   pie_izquierdo     |        False         |     lambda_yz_1     |      44.640200      |       0.315767      |        False        
   pie_izquierdo     |        False         |     lambda_yz_2     |      34.022754      |       0.710445      |        False        
   pie_izquierdo     |        False         |     lambda_yz_3     |      45.090993      |       0.216029      |        False        
   pie_izquierdo     |        False         |     lambda_yz_4     |      33.676105      |       0.834903      |        False        
   pie_izquierdo     |        False         |     lambda_yz_5     |      34.024886      |       0.506644      |        False        
   pie_izquierdo     |        False         |     lambda_yz_6     |      36.482997      |       0.849504      |        False        
   pie_izquierdo     |        False         |     lambda_yz_7     |      31.485567      |       0.923366      |        False        
   pie_izquierdo     |        False         |     lambda_yz_8     |      35.096732      |       0.981880      |        False        
   pie_izquierdo     |        False         |     lambda_yz_9     |      29.194807      |       0.385283      |        False        
   pie_izquierdo     |        False         |     lambda_yz_10    |      28.534940      |       0.824676      |        False        
   pie_izquierdo     |        False         |     lambda_yz_11    |      28.756800      |       0.327262      |        False        
   pie_izquierdo     |        False         |     lambda_yz_12    |      35.992705      |       0.394570      |        False        
   pie_izquierdo     |        False         |     lambda_yz_13    |      29.402993      |       0.485050      |        False        
